edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	csr_title	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E02388	79700	4010001034802	信越ポリマー株式会社	2018	FY	2019-06-25	2018-04-01	2019-03-31	S100FWGZ	有価証券報告書－第59期(平成30年4月1日－平成31年3月31日)			1	1	7	12	8.2623376E7	8.5460001E10	8.1529999E9	8.0259999E9	6.0489999E9	1.07032003E11	8.0559997E10	8.0387998E10	1.30300006E9	16.0	74.27	989.44			1.05349497E11	7.9034999E10	7.8885503E10		7.67	7.62	9.54	9.39	75.11	21.54	1.65	1144.0	1199.0	610.0	818.0	905.3333333333334
E02389	79890	4010401017209	立川ブラインド工業株式会社	2018	FY	2019-03-28	2018-01-01	2018-12-31	S100FIBC	有価証券報告書－第73期(平成30年1月1日－平成30年12月31日)																																1560.0	1582.0	957.0	1177.0	1235.0833333333333
E02390	69610	5030001074060	株式会社エンプラス	2018	FY	2019-06-21	2018-04-01	2019-03-31	S100G33X	有価証券報告書－第58期(平成30年4月1日－平成31年3月31日)			1	1	16	12	1.8232896E7	3.12810004E10	1.73500006E9	1.87699994E9	3.32E8	5.6655999E10	5.1606E10	5.1212001E10	7.03E8	55.0	26.03	4017.45			5.6945E10	5.1932E10	5.15975E10		0.64	3.3	5.55	6.0	90.39	211.75	1.35	3585.0	3875.0	2473.0	2848.0	3061.0
E02394	79660	7011401006867	リンテック株式会社	2018	FY	2019-06-20	2018-04-01	2019-03-31	S100G288	有価証券報告書－第125期(平成30年4月1日－平成31年3月31日)			1	1	19	12	7.6576336E7	2.50941997E11	1.79769999E10	1.7993001E10	1.29369999E10	2.90319991E11	1.90226006E11	1.89577003E11	5.6310001E9	78.0	179.24	2625.54			2.91527492E11	1.88323004E11	1.87639497E11		6.89	6.17	7.16	7.17	65.3	43.53	2.99	3085.0	3365.0	2185.0	2394.0	2807.5
E02395	79650	5120001059655	象印マホービン株式会社	2018	FY	2020-02-20	2018-11-21	2019-11-20	S100I2F6	有価証券報告書－第75期(平成30年11月21日－令和1年11月20日)																																1517.0	1758.0	792.0	1150.0	1320.8333333333333
E02396	79630	3010001016132	興研株式会社	2018	FY	2019-03-12	2018-01-01	2018-12-31	S100FD9D	有価証券報告書－第56期(平成30年1月1日－平成30年12月31日)																																1697.0	1834.0	1130.0	1355.0	1449.25
E02398	79620	8010001014924	株式会社キングジム	2018	FY	2019-09-19	2018-06-21	2019-06-20	S100GYST	有価証券報告書－第71期(平成30年6月21日－令和1年6月20日)																																1030.0	1128.0	725.0	865.0	953.75
E02401	79590	4180301000454	株式会社オリバー	2018	FY	2020-01-16	2018-10-21	2019-10-20	S100HQYR	有価証券報告書－第53期(平成30年10月21日－令和1年10月20日)																																				
E02402	79570	8120001050578	フジコピアン株式会社	2018	FY	2019-03-27	2018-01-01	2018-12-31	S100FFD1	有価証券報告書－第69期(平成30年1月1日－平成30年12月31日)																																1899.0	2131.0	1480.0	1975.0	1850.0
E02403	64120	3010501026647	株式会社平和	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100G92U	有価証券報告書－第51期(平成30年4月1日－平成31年3月31日)			1	1	15	12	9.9809056E7	1.44980001E11	2.80140001E10	2.74510008E10	1.63410002E10	4.42845004E11	2.25052E11	2.25052E11	7.8909998E9	80.0	165.68	2281.58			4.37688992E11	2.20876505E11	2.20871E11		7.4	6.27	19.32	18.93	50.82	48.29	3.57	2130.0	2822.0	2040.0	2212.0	2176.0
E02404	79560	8010001027298	ピジョン株式会社	2018	FY	2019-04-26	2018-02-01	2019-01-31	S100FOXI	有価証券報告書－第62期(平成30年2月1日－平成31年1月31日)			1	1	19	12	1.21653488E8	1.04747E11	1.96120003E10	2.03980001E10	1.42380001E10	8.6005998E10	6.6582E10	6.4242E10	8.1430001E9	68.0	118.89	536.43			8.5236498E10	6.4697E10	6.2467498E10		22.79	23.93	18.72	19.47	74.69	57.19	12.59	4810.0	6650.0	3905.0	4525.0	5040.0
E02406	79550	6011501006231	クリナップ株式会社	2018	FY	2019-06-26	2018-04-01	2019-03-31	S100G7DH	有価証券報告書－第66期(平成30年4月1日－平成31年3月31日)	クリナップ株式会社	http://csr-toshokan.net/ln_book/cleanup-2019/download.pdf	1	1	19	12	3.7442376E7	1.04486003E11	-4.65E8	-3.76E8	-7.04E8	8.0408003E10	5.0823999E10	5.0823999E10	7.37E8	20.0	-19.26	1388.62			8.2152997E10	5.1584999E10	5.1584999E10		-1.36	-0.46	-0.45	-0.36	63.21		1.43	820.0	908.0	568.0	591.0	742.6666666666666
E02407	79500	8180001081246	日本デコラックス株式会社	2018	FY	2019-06-26	2018-04-01	2019-03-31	S100G8UR	有価証券報告書－第61期(平成30年4月1日－平成31年3月31日)																																				
E02408	79490	9220001011932	小松ウオール工業株式会社	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100G5XP	有価証券報告書－第52期(平成30年4月1日－平成31年3月31日)			0	1	19	12	1.090324E7	3.4635002E10	3.04700006E9	3.07000013E9	2.048E9	3.9300002E10	3.2246999E10	3.2246999E10	6.62E8	70.0	222.14	3496.96			3.80235E10	3.15599995E10	3.15599995E10		6.49	8.07	8.8	8.86	82.05	32.32	2.1	2826.0	2838.0	1704.0	1886.0	2088.5833333333335
E02409	59060	2100001006100	エムケー精工株式会社	2018	FY	2019-06-12	2018-03-21	2019-03-20	S100FYIZ	有価証券報告書－第63期(平成30年3月21日－平成31年3月20日)			1	6	14	12	1.559505E7	2.33959997E10	1.07900006E9	1.17E9	7.63E8	2.49789993E10	1.12970004E10	1.12970004E10	1.16E8	8.0	52.66	779.08			2.29175009E10	1.10334996E10	1.10334996E10		6.92	5.11	4.61	5.0	45.23	15.2	1.05	430.0	490.0	265.0	365.0	381.22222222222223
E02410	64130	9010401031452	理想科学工業株式会社	2018	FY	2019-06-26	2018-04-01	2019-03-31	S100G9KL	有価証券報告書－第65期(平成30年4月1日－平成31年3月31日)			1	1	15	12	4.7406332E7	8.3899998E10	3.77100006E9	3.66E9	2.77100006E9	8.7157998E10	6.2248002E10	6.2248002E10	2.148E9	60.0	76.76	1738.48			8.8623497E10	6.3028998E10	6.3028998E10		4.4	4.13	4.49	4.36	71.42	77.52	3.41	1983.0	2824.0	1500.0	1750.0	2166.0833333333335
E02411	68630	5010101003020	株式会社ニレコ	2018	FY	2019-06-24	2018-04-01	2019-03-31	S100G5P8	有価証券報告書－第93期(平成30年4月1日－平成31年3月31日)			1	6	16	12	8305249.0	8.4409999E9	8.98E8	1.011E9	4.89E8	1.40120003E10	1.24900004E10	1.24309996E10	1.77E8	24.0	66.07	1684.85			1.41854996E10	1.25435003E10	1.24515E10		3.93	7.13	10.64	11.98	88.72	36.2	1.41	1133.0	1380.0	641.0	893.0	999.3333333333334
E02412	79470	5240001029984	株式会社エフピコ	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100G7U7	有価証券報告書－第57期(平成30年4月1日－平成31年3月31日)			1	1	7	12	4.4284212E7	1.81170995E11	1.39489997E10	1.48609997E10	9.9009997E9	2.49332007E11	1.12198001E11	1.11755002E11	3.348E9	81.0	239.51	2703.33			2.46764995E11	1.09208502E11	1.08796002E11		9.1	6.02	7.7	8.2	44.82	33.81	3.07	7010.0	7290.0	5580.0	6540.0	6320.0
E02413	79450	8220001011999	コマニー株式会社	2018	FY	2019-06-26	2018-04-01	2019-03-31	S100G95F	有価証券報告書－第59期(平成30年4月1日－平成31年3月31日)			1	2	19	12	9924075.0	3.42920008E10	1.42E9	1.34099994E9	3.35E8	3.4528002E10	2.23240008E10	2.23240008E10	4.56E8	50.0	37.67	2508.65			3.5444498E10	2.24824996E10	2.24824996E10		1.49	3.78	4.14	3.91	64.65	136.12	2.03	1470.0	1715.0	1211.0	1253.0	1478.0
E02414	77430	7010001003408	株式会社シード	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100GBNQ	有価証券報告書－第63期(平成30年4月1日－平成31年3月31日)			1	1	18	12	2.7336E7	2.94890004E10	1.874E9	1.84E9	9.63E8	3.9945998E10	1.07760005E10	1.07559997E10	3.0E8	12.0	38.5	429.68			3.7335998E10	1.04289997E10	1.04190003E10		9.24	4.93	6.35	6.24	26.93	31.15	2.88	7060.0	8100.0	1086.0	1148.0	2639.75
E02415	79430	4180001007155	ニチハ株式会社	2018	FY	2019-06-26	2018-04-01	2019-03-31	S100G764	有価証券報告書－第82期(平成30年4月1日－平成31年3月31日)			1	1	11	12	3.7324264E7	1.19159996E11	1.272E10	1.31370004E10	9.9149998E9	1.36067998E11	8.7404003E10	8.7798997E10	2.07100006E9	56.0	268.13	2374.08			1.32895998E11	8.3950502E10	8.4381E10		11.75	9.89	10.67	11.02	64.53	20.89	2.47	4065.0	4785.0	2315.0	3050.0	3372.0833333333335
E02416	51870	7020001008505	クリエートメディック株式会社	2018	FY	2019-03-28	2018-01-01	2018-12-31	S100FHX4	有価証券報告書－第45期(平成30年1月1日－平成30年12月31日)																																1135.0	1488.0	904.0	953.0	1171.5833333333333
